2025-07-05 11:29:03 - Juntas: [None, None, None, None, None, None, None] - Garra: [None, None, None]
2025-07-05 11:30:41 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:42 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:43 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:44 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:45 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:46 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:47 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:48 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:49 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:50 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:51 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:52 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:53 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:54 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:55 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:56 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:57 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:58 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:30:59 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:00 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:01 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:02 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:03 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:04 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:05 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:06 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:07 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:08 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:09 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:10 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:11 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:12 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:13 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:14 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:15 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:16 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:17 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:18 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:19 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:20 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:21 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:22 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:23 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:24 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:25 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:26 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:27 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:28 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:29 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:30 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:31 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:32 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:33 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:34 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:35 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:36 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:37 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:38 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:39 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:41 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:42 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:43 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:44 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:45 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:46 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:47 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:48 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:49 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:50 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:51 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:52 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:53 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:54 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:55 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:56 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:57 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:58 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:31:59 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:00 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:01 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:02 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:03 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:04 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:05 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:06 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:07 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:08 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:09 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:10 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:11 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:12 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:13 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:14 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:15 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:16 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:17 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:18 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:19 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:20 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:21 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:22 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:23 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:24 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:25 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:26 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:27 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:28 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:29 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:30 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:31 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:32 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:33 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:34 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:35 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:36 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:37 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:38 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:39 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:40 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:41 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:42 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:43 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:44 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:45 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:46 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:47 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:48 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:49 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:50 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:51 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:52 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:53 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:54 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:55 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:56 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:57 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:58 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:32:59 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:00 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:01 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:02 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:03 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:04 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:05 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:06 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:07 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:08 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:09 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:10 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:11 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:12 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:13 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:14 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:15 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:16 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:18 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:19 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:20 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:21 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:22 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:23 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:24 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:25 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:26 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:27 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:28 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
2025-07-05 11:33:29 - Juntas: [40.0, 20.0, None, None, 90.0, None, None] - Garra: [None, None, None]
